,Pr,Rc,AvgPc,AvgRc,em,f1,s1,TPR,FPR
60,14910.31667,14668.36667,0.948010978,0.932627586,0.830429807,0.940256365,0.465357883,0.932627586,0.001348502
61,14911.38571,14649.11667,0.948078949,0.931403654,0.828776704,0.939667328,0.469679429,0.931403654,0.001327756
62,14919.70238,14634.8,0.94860773,0.930493388,0.828077314,0.939463249,0.470252423,0.930493388,0.001298471
63,14923.1,14619.86667,0.948823754,0.929543913,0.826678535,0.939084888,0.47295201,0.929543913,0.001277363
64,14931.46667,14606.41667,0.949355714,0.92868875,0.825152594,0.938908517,0.474079516,0.92868875,0.001252377
65,14935.13333,14592.06667,0.949588844,0.927776365,0.823626653,0.938555888,0.475581342,0.927776365,0.001227359
66,14942.58333,14580.25,0.950062521,0.927025051,0.822355036,0.938402417,0.476520275,0.927025051,0.001205365
67,14946.23333,14566.03333,0.950294591,0.926121143,0.821146999,0.938052156,0.481934369,0.926121143,0.001185108
68,14948.88333,14544.95,0.950463081,0.924780646,0.818540183,0.937445996,0.48590922,0.924780646,0.00116138
69,14953.1,14523.03333,0.95073118,0.923387165,0.816950661,0.936859693,0.490267638,0.923387165,0.00113727
70,14960.58333,14504.83333,0.951206977,0.922229993,0.814788911,0.936494387,0.495302952,0.922229993,0.001111808
71,14966.16667,14486.48333,0.95156197,0.921063284,0.812754323,0.936064267,0.499052616,0.921063284,0.001089402
72,14969.33333,14463.08333,0.95176331,0.919575492,0.809702442,0.935392579,0.504679907,0.919575492,0.001070843
73,14975.21667,14444.58333,0.952137377,0.918399246,0.807731434,0.934964051,0.509616676,0.918399246,0.001049727
74,14982.15,14422.76667,0.952578204,0.917012123,0.805315361,0.934456869,0.51519049,0.917012123,0.001023873
75,14982.09048,14395.6,0.95257442,0.915284842,0.802454222,0.93355741,0.52314753,0.915284842,0.001001496
76,14983.37381,14368.03333,0.952656015,0.91353213,0.799593082,0.932683964,0.53224178,0.91353213,0.000969271
77,14980.78333,14335.9,0.952491311,0.911489064,0.796350458,0.931539221,0.540038301,0.911489064,0.00093009
78,14981.28333,14307.33333,0.952523101,0.90967277,0.793552899,0.930604929,0.548876429,0.90967277,0.0008965
79,14986.31667,14280.88333,0.952843125,0.907991056,0.789738047,0.929876551,0.557244263,0.907991056,0.000868541
80,14992.18333,14248.95,0.953216133,0.905960707,0.786050356,0.928987865,0.56463327,0.905960707,0.000838857
81,14998.05,14217.15,0.95358914,0.903938835,0.782362665,0.92810043,0.5737526,0.903938835,0.000813029
82,15003.25,14188.6,0.953919761,0.902123601,0.779374364,0.92729895,0.579616404,0.902123601,0.000783305
83,15008.6,14153.76667,0.954259919,0.899908867,0.775686673,0.9262878,0.588577339,0.899908867,0.00075795
84,15007.4,14113.3,0.954183622,0.897335961,0.770663784,0.924887088,0.600110218,0.897335961,0.000733388
85,14996.23333,14070.86667,0.953473635,0.894638013,0.765513733,0.923119292,0.610368431,0.894638013,0.000704993
86,14990.76667,14017.36667,0.95312606,0.891236436,0.75947355,0.92114286,0.622284391,0.891236436,0.00068215
87,14989.48333,13967.35,0.953044464,0.888056333,0.753751272,0.919403406,0.633897894,0.888056333,0.000658941
88,14985.85,13908.31667,0.952813454,0.884302942,0.746312309,0.917280736,0.649164567,0.884302942,0.000628412
89,14981.48333,13844.05,0.952535817,0.880216811,0.737410987,0.914949488,0.663233823,0.880216811,0.000603014
90,14980.41667,13771.35,0.952467998,0.875594481,0.729336216,0.9124149,0.681726481,0.875594481,0.00056688
91,14978.68333,13696.21667,0.952357791,0.870817438,0.721261445,0.909764194,0.69942566,0.870817438,0.00053367
92,14971.63333,13601.93333,0.951909546,0.864822821,0.710579858,0.906278893,0.726123816,0.864822821,0.000497948
93,14964.36667,13490.61667,0.951447525,0.85774521,0.698944557,0.902169837,0.751843011,0.85774521,0.000455398
94,14945.83333,13358.98333,0.950269159,0.849375848,0.684257375,0.896994318,0.784801666,0.849375848,0.000415831
95,14916.93333,13208.56667,0.948431672,0.839812224,0.665946083,0.89082313,0.822341181,0.839812224,0.000370768
96,14877.58333,13013.41667,0.945929764,0.827404417,0.642993388,0.882706117,0.870400616,0.827404417,0.000333398
97,14813.26667,12751.05,0.941840454,0.810722915,0.614445575,0.871376923,0.930503873,0.810722915,0.000291381
98,14714.71667,12375.73333,0.935574559,0.786859953,0.574262462,0.854797263,1.012725391,0.786859953,0.0002395
99,14488.56667,11695.45,0.921195744,0.743606943,0.507184639,0.822929416,1.154942991,0.743606943,0.000172566
100,8219.85,4889.1,0.522625254,0.310853255,0.119722787,0.389835514,2.294556692,0.310853255,9.43E-06
